[Measurement conditions]
Sample identification,NaCl_sin_TT
Comment,
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Monochromator used,NO
Generator voltage, 40
Tube current,  8
File date and time,24/Jun./2022 01:09
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,5.000000000,110.013276160
Scan step size,0.0217329
No. of points, 4832
Scan type,CONTINUOUS
Time per step,49.470
[Scan points]
Angle,Intensity
5.010866440,3908.0
5.032599320,3851.0
5.054332200,3897.0
5.076065080,3788.0
5.097797960,3786.0
5.119530840,3652.0
5.141263720,3702.0
5.162996600,3568.0
5.184729480,3600.0
5.206462360,3656.0
5.228195240,3505.0
5.249928120,3389.0
5.271661000,3361.0
5.293393880,3444.0
5.315126760,3489.0
5.336859640,3380.0
5.358592520,3363.0
5.380325400,3279.0
5.402058280,3213.0
5.423791160,3266.0
5.445524040,3220.0
5.467256920,3167.0
5.488989800,3153.0
5.510722680,3030.0
5.532455560,3159.0
5.554188440,3044.0
5.575921320,3020.0
5.597654200,2924.0
5.619387080,2962.0
5.641119960,2988.0
5.662852840,2847.0
5.684585720,2858.0
5.706318600,2853.0
5.728051480,2851.0
5.749784360,2829.0
5.771517240,2852.0
5.793250120,2767.0
5.814983000,2680.0
5.836715880,2702.0
5.858448760,2749.0
5.880181640,2660.0
5.901914520,2683.0
5.923647400,2718.0
5.945380280,2704.0
5.967113160,2637.0
5.988846040,2593.0
6.010578920,2595.0
6.032311800,2598.0
6.054044680,2643.0
6.075777560,2496.0
6.097510440,2551.0
6.119243320,2544.0
6.140976200,2600.0
6.162709080,2537.0
6.184441960,2609.0
6.206174840,2536.0
6.227907720,2547.0
6.249640600,2431.0
6.271373480,2563.0
6.293106360,2423.0
6.314839240,2461.0
6.336572120,2437.0
6.358305000,2500.0
6.380037880,2486.0
6.401770760,2478.0
6.423503640,2412.0
6.445236520,2489.0
6.466969400,2503.0
6.488702280,2378.0
6.510435160,2475.0
6.532168040,2516.0
6.553900920,2506.0
6.575633800,2471.0
6.597366680,2448.0
6.619099560,2433.0
6.640832440,2486.0
6.662565320,2398.0
6.684298200,2285.0
6.706031080,2413.0
6.727763960,2357.0
6.749496840,2335.0
6.771229720,2405.0
6.792962600,2405.0
6.814695480,2305.0
6.836428360,2316.0
6.858161240,2395.0
6.879894120,2447.0
6.901627000,2406.0
6.923359880,2440.0
6.945092760,2435.0
6.966825640,2365.0
6.988558520,2269.0
7.010291400,2449.0
7.032024280,2289.0
7.053757160,2341.0
7.075490040,2241.0
7.097222920,2360.0
7.118955800,2331.0
7.140688680,2327.0
7.162421560,2286.0
7.184154440,2373.0
7.205887320,2340.0
7.227620200,2388.0
7.249353080,2344.0
7.271085960,2292.0
7.292818840,2388.0
7.314551720,2322.0
7.336284600,2194.0
7.358017480,2359.0
7.379750360,2361.0
7.401483240,2281.0
7.423216120,2374.0
7.444949000,2373.0
7.466681880,2379.0
7.488414760,2315.0
7.510147640,2366.0
7.531880520,2295.0
7.553613400,2355.0
7.575346280,2325.0
7.597079160,2353.0
7.618812040,2324.0
7.640544920,2350.0
7.662277800,2255.0
7.684010680,2442.0
7.705743560,2352.0
7.727476440,2337.0
7.749209320,2341.0
7.770942200,2360.0
7.792675080,2257.0
7.814407960,2296.0
7.836140840,2295.0
7.857873720,2267.0
7.879606600,2281.0
7.901339480,2170.0
7.923072360,2390.0
7.944805240,2301.0
7.966538120,2346.0
7.988271000,2329.0
8.010003880,2451.0
8.031736760,2369.0
8.053469640,2308.0
8.075202520,2343.0
8.096935400,2400.0
8.118668280,2416.0
8.140401160,2322.0
8.162134040,2367.0
8.183866920,2321.0
8.205599800,2363.0
8.227332680,2352.0
8.249065560,2329.0
8.270798440,2316.0
8.292531320,2366.0
8.314264200,2325.0
8.335997080,2331.0
8.357729960,2480.0
8.379462840,2379.0
8.401195720,2301.0
8.422928600,2327.0
8.444661480,2370.0
8.466394360,2348.0
8.488127240,2327.0
8.509860120,2393.0
8.531593000,2311.0
8.553325880,2380.0
8.575058760,2412.0
8.596791640,2354.0
8.618524520,2265.0
8.640257400,2270.0
8.661990280,2341.0
8.683723160,2386.0
8.705456040,2290.0
8.727188920,2323.0
8.748921800,2378.0
8.770654680,2467.0
8.792387560,2334.0
8.814120440,2374.0
8.835853320,2364.0
8.857586200,2432.0
8.879319080,2368.0
8.901051960,2430.0
8.922784840,2418.0
8.944517720,2340.0
8.966250600,2382.0
8.987983480,2300.0
9.009716360,2330.0
9.031449240,2405.0
9.053182120,2366.0
9.074915000,2334.0
9.096647880,2350.0
9.118380760,2447.0
9.140113640,2475.0
9.161846520,2383.0
9.183579400,2427.0
9.205312280,2373.0
9.227045160,2514.0
9.248778040,2433.0
9.270510920,2512.0
9.292243800,2453.0
9.313976680,2411.0
9.335709560,2340.0
9.357442440,2394.0
9.379175320,2321.0
9.400908200,2351.0
9.422641080,2351.0
9.444373960,2403.0
9.466106840,2359.0
9.487839720,2392.0
9.509572600,2411.0
9.531305480,2437.0
9.553038360,2461.0
9.574771240,2522.0
9.596504120,2429.0
9.618237000,2404.0
9.639969880,2363.0
9.661702760,2394.0
9.683435640,2477.0
9.705168520,2478.0
9.726901400,2378.0
9.748634280,2415.0
9.770367160,2494.0
9.792100040,2376.0
9.813832920,2495.0
9.835565800,2432.0
9.857298680,2423.0
9.879031560,2426.0
9.900764440,2416.0
9.922497320,2509.0
9.944230200,2411.0
9.965963080,2418.0
9.987695960,2414.0
10.009428840,2423.0
10.031161720,2433.0
10.052894600,2378.0
10.074627480,2431.0
10.096360360,2530.0
10.118093240,2443.0
10.139826120,2375.0
10.161559000,2427.0
10.183291880,2576.0
10.205024760,2571.0
10.226757640,2439.0
10.248490520,2418.0
10.270223400,2546.0
10.291956280,2531.0
10.313689160,2412.0
10.335422040,2470.0
10.357154920,2513.0
10.378887800,2425.0
10.400620680,2457.0
10.422353560,2512.0
10.444086440,2497.0
10.465819320,2523.0
10.487552200,2525.0
10.509285080,2436.0
10.531017960,2455.0
10.552750840,2461.0
10.574483720,2513.0
10.596216600,2524.0
10.617949480,2383.0
10.639682360,2421.0
10.661415240,2407.0
10.683148120,2416.0
10.704881000,2396.0
10.726613880,2391.0
10.748346760,2456.0
10.770079640,2335.0
10.791812520,2482.0
10.813545400,2457.0
10.835278280,2580.0
10.857011160,2547.0
10.878744040,2499.0
10.900476920,2541.0
10.922209800,2455.0
10.943942680,2473.0
10.965675560,2549.0
10.987408440,2620.0
11.009141320,2492.0
11.030874200,2496.0
11.052607080,2537.0
11.074339960,2525.0
11.096072840,2528.0
11.117805720,2541.0
11.139538600,2571.0
11.161271480,2672.0
11.183004360,2643.0
11.204737240,2758.0
11.226470120,2850.0
11.248203000,2890.0
11.269935880,2904.0
11.291668760,2897.0
11.313401640,2970.0
11.335134520,3136.0
11.356867400,3183.0
11.378600280,3350.0
11.400333160,3658.0
11.422066040,3940.0
11.443798920,4077.0
11.465531800,4638.0
11.487264680,5373.0
11.508997560,6384.0
11.530730440,9113.0
11.552463320,13702.0
11.574196200,16700.0
11.595929080,16061.0
11.617661960,12023.0
11.639394840,7717.0
11.661127720,5108.0
11.682860600,3761.0
11.704593480,3074.0
11.726326360,2716.0
11.748059240,2609.0
11.769792120,2679.0
11.791525000,2753.0
11.813257880,2652.0
11.834990760,2557.0
11.856723640,2578.0
11.878456520,2673.0
11.900189400,2655.0
11.921922280,2534.0
11.943655160,2477.0
11.965388040,2504.0
11.987120920,2443.0
12.008853800,2502.0
