[Measurement conditions]
Sample identification,NaCl_TT_300
Comment,
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Monochromator used,NO
Generator voltage, 40
Tube current,  8
File date and time,28/Jun./2022 02:03
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,5.000000000,110.013276160
Scan step size,0.0217329
No. of points, 4832
Scan type,CONTINUOUS
Time per step,49.470
[Scan points]
Angle,Intensity
5.010866440,3868.0
5.032599320,3801.0
5.054332200,3824.0
5.076065080,3900.0
5.097797960,3654.0
5.119530840,3651.0
5.141263720,3707.0
5.162996600,3611.0
5.184729480,3569.0
5.206462360,3714.0
5.228195240,3418.0
5.249928120,3503.0
5.271661000,3419.0
5.293393880,3418.0
5.315126760,3314.0
5.336859640,3289.0
5.358592520,3313.0
5.380325400,3269.0
5.402058280,3314.0
5.423791160,3206.0
5.445524040,3199.0
5.467256920,3180.0
5.488989800,3034.0
5.510722680,3090.0
5.532455560,3024.0
5.554188440,3085.0
5.575921320,3045.0
5.597654200,2971.0
5.619387080,2843.0
5.641119960,2959.0
5.662852840,2913.0
5.684585720,2780.0
5.706318600,2850.0
5.728051480,2876.0
5.749784360,2788.0
5.771517240,2731.0
5.793250120,2823.0
5.814983000,2813.0
5.836715880,2690.0
5.858448760,2718.0
5.880181640,2715.0
5.901914520,2686.0
5.923647400,2700.0
5.945380280,2576.0
5.967113160,2662.0
5.988846040,2673.0
6.010578920,2619.0
6.032311800,2655.0
6.054044680,2521.0
6.075777560,2546.0
6.097510440,2537.0
6.119243320,2511.0
6.140976200,2673.0
6.162709080,2542.0
6.184441960,2486.0
6.206174840,2580.0
6.227907720,2485.0
6.249640600,2439.0
6.271373480,2429.0
6.293106360,2510.0
6.314839240,2480.0
6.336572120,2364.0
6.358305000,2447.0
6.380037880,2312.0
6.401770760,2494.0
6.423503640,2480.0
6.445236520,2493.0
6.466969400,2415.0
6.488702280,2411.0
6.510435160,2339.0
6.532168040,2444.0
6.553900920,2459.0
6.575633800,2460.0
6.597366680,2418.0
6.619099560,2458.0
6.640832440,2392.0
6.662565320,2413.0
6.684298200,2487.0
6.706031080,2413.0
6.727763960,2478.0
6.749496840,2385.0
6.771229720,2365.0
6.792962600,2347.0
6.814695480,2329.0
6.836428360,2408.0
6.858161240,2416.0
6.879894120,2391.0
6.901627000,2385.0
6.923359880,2358.0
6.945092760,2433.0
6.966825640,2418.0
6.988558520,2378.0
7.010291400,2394.0
7.032024280,2354.0
7.053757160,2337.0
7.075490040,2406.0
7.097222920,2343.0
7.118955800,2404.0
7.140688680,2327.0
7.162421560,2336.0
7.184154440,2426.0
7.205887320,2441.0
7.227620200,2347.0
7.249353080,2437.0
7.271085960,2366.0
7.292818840,2360.0
7.314551720,2260.0
7.336284600,2367.0
7.358017480,2374.0
7.379750360,2324.0
7.401483240,2344.0
7.423216120,2256.0
7.444949000,2362.0
7.466681880,2301.0
7.488414760,2432.0
7.510147640,2456.0
7.531880520,2439.0
7.553613400,2380.0
7.575346280,2397.0
7.597079160,2425.0
7.618812040,2382.0
7.640544920,2447.0
7.662277800,2289.0
7.684010680,2437.0
7.705743560,2411.0
7.727476440,2353.0
7.749209320,2355.0
7.770942200,2369.0
7.792675080,2325.0
7.814407960,2360.0
7.836140840,2430.0
7.857873720,2278.0
7.879606600,2336.0
7.901339480,2384.0
7.923072360,2335.0
7.944805240,2305.0
7.966538120,2404.0
7.988271000,2411.0
8.010003880,2286.0
8.031736760,2379.0
8.053469640,2393.0
8.075202520,2470.0
8.096935400,2405.0
8.118668280,2499.0
8.140401160,2343.0
8.162134040,2483.0
8.183866920,2439.0
8.205599800,2418.0
8.227332680,2328.0
8.249065560,2296.0
8.270798440,2370.0
8.292531320,2389.0
8.314264200,2385.0
8.335997080,2309.0
8.357729960,2369.0
8.379462840,2342.0
8.401195720,2361.0
8.422928600,2341.0
8.444661480,2337.0
8.466394360,2258.0
8.488127240,2381.0
8.509860120,2485.0
8.531593000,2433.0
8.553325880,2424.0
8.575058760,2334.0
8.596791640,2368.0
8.618524520,2365.0
8.640257400,2349.0
8.661990280,2333.0
8.683723160,2406.0
8.705456040,2399.0
8.727188920,2425.0
8.748921800,2378.0
8.770654680,2450.0
8.792387560,2441.0
8.814120440,2441.0
8.835853320,2310.0
8.857586200,2373.0
8.879319080,2374.0
8.901051960,2363.0
8.922784840,2423.0
8.944517720,2387.0
8.966250600,2483.0
8.987983480,2350.0
9.009716360,2345.0
9.031449240,2467.0
9.053182120,2345.0
9.074915000,2322.0
9.096647880,2354.0
9.118380760,2539.0
9.140113640,2459.0
9.161846520,2464.0
9.183579400,2390.0
9.205312280,2411.0
9.227045160,2466.0
9.248778040,2394.0
9.270510920,2504.0
9.292243800,2421.0
9.313976680,2412.0
9.335709560,2409.0
9.357442440,2398.0
9.379175320,2407.0
9.400908200,2367.0
9.422641080,2391.0
9.444373960,2411.0
9.466106840,2413.0
9.487839720,2477.0
9.509572600,2475.0
9.531305480,2415.0
9.553038360,2417.0
9.574771240,2441.0
9.596504120,2400.0
9.618237000,2327.0
9.639969880,2507.0
9.661702760,2466.0
9.683435640,2341.0
9.705168520,2440.0
9.726901400,2538.0
9.748634280,2518.0
9.770367160,2458.0
9.792100040,2462.0
9.813832920,2470.0
9.835565800,2307.0
9.857298680,2515.0
9.879031560,2375.0
9.900764440,2344.0
9.922497320,2404.0
9.944230200,2467.0
9.965963080,2413.0
9.987695960,2379.0
10.009428840,2388.0
10.031161720,2413.0
10.052894600,2514.0
10.074627480,2427.0
10.096360360,2474.0
10.118093240,2479.0
10.139826120,2507.0
10.161559000,2528.0
10.183291880,2430.0
10.205024760,2387.0
10.226757640,2411.0
10.248490520,2523.0
10.270223400,2442.0
10.291956280,2395.0
10.313689160,2470.0
10.335422040,2559.0
10.357154920,2436.0
10.378887800,2377.0
10.400620680,2370.0
10.422353560,2514.0
10.444086440,2458.0
10.465819320,2374.0
10.487552200,2376.0
10.509285080,2441.0
10.531017960,2375.0
10.552750840,2333.0
10.574483720,2469.0
10.596216600,2470.0
10.617949480,2565.0
10.639682360,2416.0
10.661415240,2445.0
10.683148120,2436.0
10.704881000,2428.0
10.726613880,2444.0
10.748346760,2403.0
10.770079640,2446.0
10.791812520,2455.0
10.813545400,2440.0
10.835278280,2520.0
10.857011160,2468.0
10.878744040,2524.0
10.900476920,2468.0
10.922209800,2325.0
10.943942680,2469.0
10.965675560,2449.0
10.987408440,2475.0
11.009141320,2483.0
11.030874200,2412.0
11.052607080,2476.0
11.074339960,2368.0
11.096072840,2392.0
11.117805720,2433.0
11.139538600,2411.0
11.161271480,2395.0
11.183004360,2352.0
11.204737240,2483.0
11.226470120,2513.0
11.248203000,2433.0
11.269935880,2382.0
11.291668760,2579.0
11.313401640,2481.0
11.335134520,2409.0
11.356867400,2419.0
11.378600280,2411.0
11.400333160,2498.0
11.422066040,2462.0
11.443798920,2540.0
11.465531800,2489.0
11.487264680,2431.0
11.508997560,2380.0
11.530730440,2497.0
11.552463320,2488.0
11.574196200,2464.0
11.595929080,2444.0
11.617661960,2430.0
11.639394840,2463.0
11.661127720,2400.0
11.682860600,2504.0
11.704593480,2432.0
11.726326360,2495.0
11.748059240,2401.0
11.769792120,2441.0
11.791525000,2462.0
11.813257880,2537.0
11.834990760,2501.0
11.856723640,2417.0
11.878456520,2417.0
11.900189400,2406.0
11.921922280,2373.0
11.943655160,2390.0
11.965388040,2378.0
11.987120920,2421.0
12.008853800,2426.0
