"File_220518_105221 - RawData"
"Wavelength nm."	"Abs."
400.00	0.30222
400.20	0.30210
400.40	0.30195
400.60	0.30180
400.80	0.30159
401.00	0.30139
401.20	0.30116
401.40	0.30094
401.60	0.30069
401.80	0.30047
402.00	0.30024
402.20	0.30001
402.40	0.29980
402.60	0.29961
402.80	0.29942
403.00	0.29927
403.20	0.29906
403.40	0.29892
403.60	0.29875
403.80	0.29863
404.00	0.29846
404.20	0.29830
404.40	0.29809
404.60	0.29792
404.80	0.29778
405.00	0.29764
405.20	0.29743
405.40	0.29731
405.60	0.29710
405.80	0.29697
406.00	0.29678
406.20	0.29664
406.40	0.29642
406.60	0.29626
406.80	0.29613
407.00	0.29601
407.20	0.29585
407.40	0.29569
407.60	0.29553
407.80	0.29541
408.00	0.29522
408.20	0.29511
408.40	0.29496
408.60	0.29484
408.80	0.29470
409.00	0.29463
409.20	0.29454
409.40	0.29442
409.60	0.29432
409.80	0.29425
410.00	0.29412
410.20	0.29406
410.40	0.29396
410.60	0.29384
410.80	0.29377
411.00	0.29375
411.20	0.29371
411.40	0.29367
411.60	0.29363
411.80	0.29359
412.00	0.29360
412.20	0.29360
412.40	0.29362
412.60	0.29369
412.80	0.29371
413.00	0.29378
413.20	0.29391
413.40	0.29391
413.60	0.29390
413.80	0.29394
414.00	0.29400
414.20	0.29401
414.40	0.29407
414.60	0.29410
414.80	0.29409
415.00	0.29410
415.20	0.29408
415.40	0.29407
415.60	0.29407
415.80	0.29398
416.00	0.29393
416.20	0.29386
416.40	0.29382
416.60	0.29371
416.80	0.29360
417.00	0.29346
417.20	0.29322
417.40	0.29308
417.60	0.29289
417.80	0.29268
418.00	0.29247
418.20	0.29217
418.40	0.29193
418.60	0.29167
418.80	0.29139
419.00	0.29110
419.20	0.29081
419.40	0.29053
419.60	0.29025
419.80	0.29000
420.00	0.28976
420.20	0.28953
420.40	0.28928
420.60	0.28902
420.80	0.28879
421.00	0.28855
421.20	0.28837
421.40	0.28822
421.60	0.28799
421.80	0.28777
422.00	0.28760
422.20	0.28739
422.40	0.28725
422.60	0.28704
422.80	0.28688
423.00	0.28671
423.20	0.28652
423.40	0.28636
423.60	0.28624
423.80	0.28613
424.00	0.28599
424.20	0.28587
424.40	0.28580
424.60	0.28562
424.80	0.28548
425.00	0.28536
425.20	0.28524
425.40	0.28509
425.60	0.28500
425.80	0.28494
426.00	0.28488
426.20	0.28478
426.40	0.28463
426.60	0.28454
426.80	0.28444
427.00	0.28432
427.20	0.28429
427.40	0.28424
427.60	0.28414
427.80	0.28407
428.00	0.28397
428.20	0.28388
428.40	0.28377
428.60	0.28367
428.80	0.28358
429.00	0.28351
429.20	0.28341
429.40	0.28333
429.60	0.28327
429.80	0.28320
430.00	0.28313
430.20	0.28306
430.40	0.28298
430.60	0.28291
430.80	0.28282
431.00	0.28272
431.20	0.28265
431.40	0.28255
431.60	0.28243
431.80	0.28234
432.00	0.28226
432.20	0.28218
432.40	0.28211
432.60	0.28205
432.80	0.28198
433.00	0.28192
433.20	0.28187
433.40	0.28181
433.60	0.28173
433.80	0.28165
434.00	0.28160
434.20	0.28158
434.40	0.28151
434.60	0.28145
434.80	0.28140
435.00	0.28134
435.20	0.28126
435.40	0.28119
435.60	0.28113
435.80	0.28106
436.00	0.28103
436.20	0.28100
436.40	0.28093
436.60	0.28089
436.80	0.28083
437.00	0.28085
437.20	0.28079
437.40	0.28072
437.60	0.28061
437.80	0.28056
438.00	0.28053
438.20	0.28045
438.40	0.28042
438.60	0.28038
438.80	0.28033
439.00	0.28030
439.20	0.28025
439.40	0.28024
439.60	0.28017
439.80	0.28017
440.00	0.28015
440.20	0.28017
440.40	0.28019
440.60	0.28022
440.80	0.28024
441.00	0.28024
441.20	0.28025
441.40	0.28027
441.60	0.28033
441.80	0.28038
442.00	0.28045
442.20	0.28059
442.40	0.28069
442.60	0.28088
442.80	0.28105
443.00	0.28124
443.20	0.28152
443.40	0.28187
443.60	0.28226
443.80	0.28268
444.00	0.28324
444.20	0.28380
444.40	0.28440
444.60	0.28504
444.80	0.28568
445.00	0.28641
445.20	0.28712
445.40	0.28793
445.60	0.28874
445.80	0.28952
446.00	0.29030
446.20	0.29103
446.40	0.29179
446.60	0.29243
446.80	0.29310
447.00	0.29368
447.20	0.29417
447.40	0.29463
447.60	0.29504
447.80	0.29537
448.00	0.29556
448.20	0.29568
448.40	0.29573
448.60	0.29571
448.80	0.29563
449.00	0.29543
449.20	0.29516
449.40	0.29478
449.60	0.29440
449.80	0.29395
450.00	0.29344
450.20	0.29287
450.40	0.29222
450.60	0.29158
450.80	0.29091
451.00	0.29017
451.20	0.28945
451.40	0.28875
451.60	0.28804
451.80	0.28735
452.00	0.28667
452.20	0.28601
452.40	0.28541
452.60	0.28485
452.80	0.28425
453.00	0.28376
453.20	0.28327
453.40	0.28282
453.60	0.28242
453.80	0.28198
454.00	0.28154
454.20	0.28112
454.40	0.28078
454.60	0.28042
454.80	0.28005
455.00	0.27970
455.20	0.27932
455.40	0.27898
455.60	0.27859
455.80	0.27822
456.00	0.27788
456.20	0.27752
456.40	0.27719
456.60	0.27684
456.80	0.27651
457.00	0.27617
457.20	0.27584
457.40	0.27547
457.60	0.27509
457.80	0.27478
458.00	0.27445
458.20	0.27418
458.40	0.27389
458.60	0.27361
458.80	0.27335
459.00	0.27308
459.20	0.27287
459.40	0.27267
459.60	0.27247
459.80	0.27229
460.00	0.27219
460.20	0.27211
460.40	0.27198
460.60	0.27192
460.80	0.27189
461.00	0.27181
461.20	0.27180
461.40	0.27176
461.60	0.27179
461.80	0.27177
462.00	0.27178
462.20	0.27177
462.40	0.27178
462.60	0.27177
462.80	0.27177
463.00	0.27177
463.20	0.27175
463.40	0.27176
463.60	0.27183
463.80	0.27183
464.00	0.27189
464.20	0.27190
464.40	0.27193
464.60	0.27196
464.80	0.27202
465.00	0.27207
465.20	0.27211
465.40	0.27218
465.60	0.27223
465.80	0.27228
466.00	0.27226
466.20	0.27228
466.40	0.27228
466.60	0.27226
466.80	0.27226
467.00	0.27232
467.20	0.27231
467.40	0.27229
467.60	0.27231
467.80	0.27233
468.00	0.27230
468.20	0.27229
468.40	0.27228
468.60	0.27230
468.80	0.27227
469.00	0.27230
469.20	0.27226
469.40	0.27225
469.60	0.27223
469.80	0.27223
470.00	0.27222
470.20	0.27221
470.40	0.27220
470.60	0.27219
470.80	0.27219
471.00	0.27219
471.20	0.27217
471.40	0.27216
471.60	0.27212
471.80	0.27213
472.00	0.27210
472.20	0.27207
472.40	0.27205
472.60	0.27204
472.80	0.27199
473.00	0.27194
473.20	0.27187
473.40	0.27182
473.60	0.27177
473.80	0.27169
474.00	0.27165
474.20	0.27157
474.40	0.27151
474.60	0.27143
474.80	0.27135
475.00	0.27127
475.20	0.27118
475.40	0.27110
475.60	0.27101
475.80	0.27091
476.00	0.27082
476.20	0.27073
476.40	0.27065
476.60	0.27055
476.80	0.27049
477.00	0.27038
477.20	0.27032
477.40	0.27025
477.60	0.27019
477.80	0.27012
478.00	0.27008
478.20	0.27006
478.40	0.27010
478.60	0.27010
478.80	0.27011
479.00	0.27012
479.20	0.27015
479.40	0.27018
479.60	0.27025
479.80	0.27028
480.00	0.27028
480.20	0.27029
480.40	0.27032
480.60	0.27033
480.80	0.27038
481.00	0.27035
481.20	0.27037
481.40	0.27037
481.60	0.27039
481.80	0.27037
482.00	0.27038
482.20	0.27037
482.40	0.27039
482.60	0.27040
482.80	0.27042
483.00	0.27040
483.20	0.27044
483.40	0.27039
483.60	0.27038
483.80	0.27035
484.00	0.27033
484.20	0.27026
484.40	0.27020
484.60	0.27010
484.80	0.27001
485.00	0.26990
485.20	0.26979
485.40	0.26967
485.60	0.26957
485.80	0.26942
486.00	0.26926
486.20	0.26913
486.40	0.26899
486.60	0.26880
486.80	0.26863
487.00	0.26846
487.20	0.26830
487.40	0.26814
487.60	0.26798
487.80	0.26780
488.00	0.26758
488.20	0.26738
488.40	0.26720
488.60	0.26702
488.80	0.26682
489.00	0.26663
489.20	0.26647
489.40	0.26628
489.60	0.26613
489.80	0.26600
490.00	0.26580
490.20	0.26564
490.40	0.26548
490.60	0.26537
490.80	0.26524
491.00	0.26509
491.20	0.26500
491.40	0.26488
491.60	0.26475
491.80	0.26465
492.00	0.26457
492.20	0.26447
492.40	0.26438
492.60	0.26434
492.80	0.26424
493.00	0.26420
493.20	0.26413
493.40	0.26408
493.60	0.26406
493.80	0.26399
494.00	0.26395
494.20	0.26390
494.40	0.26390
494.60	0.26387
494.80	0.26383
495.00	0.26379
495.20	0.26372
495.40	0.26368
495.60	0.26362
495.80	0.26360
496.00	0.26357
496.20	0.26351
496.40	0.26345
496.60	0.26342
496.80	0.26337
497.00	0.26332
497.20	0.26324
497.40	0.26319
497.60	0.26315
497.80	0.26312
498.00	0.26313
498.20	0.26308
498.40	0.26302
498.60	0.26296
498.80	0.26292
499.00	0.26292
499.20	0.26288
499.40	0.26287
499.60	0.26284
499.80	0.26287
500.00	0.26286
500.20	0.26285
500.40	0.26283
500.60	0.26280
500.80	0.26280
501.00	0.26278
501.20	0.26278
501.40	0.26277
501.60	0.26276
501.80	0.26274
502.00	0.26273
502.20	0.26269
502.40	0.26265
502.60	0.26262
502.80	0.26258
503.00	0.26253
503.20	0.26252
503.40	0.26251
503.60	0.26248
503.80	0.26247
504.00	0.26241
504.20	0.26235
504.40	0.26236
504.60	0.26232
504.80	0.26227
505.00	0.26226
505.20	0.26225
505.40	0.26221
505.60	0.26222
505.80	0.26219
506.00	0.26219
506.20	0.26217
506.40	0.26210
506.60	0.26212
506.80	0.26213
507.00	0.26205
507.20	0.26202
507.40	0.26204
507.60	0.26206
507.80	0.26206
508.00	0.26207
508.20	0.26204
508.40	0.26201
508.60	0.26199
508.80	0.26197
509.00	0.26198
509.20	0.26199
509.40	0.26195
509.60	0.26197
509.80	0.26196
510.00	0.26191
510.20	0.26184
510.40	0.26181
510.60	0.26178
510.80	0.26176
511.00	0.26173
511.20	0.26170
511.40	0.26169
511.60	0.26168
511.80	0.26164
512.00	0.26163
512.20	0.26163
512.40	0.26159
512.60	0.26159
512.80	0.26159
513.00	0.26155
513.20	0.26153
513.40	0.26150
513.60	0.26149
513.80	0.26147
514.00	0.26145
514.20	0.26140
514.40	0.26138
514.60	0.26136
514.80	0.26135
515.00	0.26139
515.20	0.26136
515.40	0.26129
515.60	0.26128
515.80	0.26128
516.00	0.26128
516.20	0.26129
516.40	0.26128
516.60	0.26123
516.80	0.26127
517.00	0.26125
517.20	0.26126
517.40	0.26121
517.60	0.26119
517.80	0.26122
518.00	0.26126
518.20	0.26120
518.40	0.26116
518.60	0.26115
518.80	0.26113
519.00	0.26112
519.20	0.26115
519.40	0.26110
519.60	0.26110
519.80	0.26107
520.00	0.26107
520.20	0.26102
520.40	0.26095
520.60	0.26090
520.80	0.26095
521.00	0.26096
521.20	0.26098
521.40	0.26097
521.60	0.26093
521.80	0.26096
522.00	0.26095
522.20	0.26095
522.40	0.26091
522.60	0.26092
522.80	0.26092
523.00	0.26095
523.20	0.26097
523.40	0.26097
523.60	0.26099
523.80	0.26098
524.00	0.26097
524.20	0.26101
524.40	0.26099
524.60	0.26101
524.80	0.26099
525.00	0.26102
525.20	0.26102
525.40	0.26102
525.60	0.26106
525.80	0.26106
526.00	0.26108
526.20	0.26105
526.40	0.26110
526.60	0.26110
526.80	0.26113
527.00	0.26116
527.20	0.26114
527.40	0.26119
527.60	0.26123
527.80	0.26131
528.00	0.26137
528.20	0.26140
528.40	0.26148
528.60	0.26151
528.80	0.26161
529.00	0.26165
529.20	0.26179
529.40	0.26191
529.60	0.26207
529.80	0.26230
530.00	0.26249
530.20	0.26273
530.40	0.26292
530.60	0.26316
530.80	0.26346
531.00	0.26378
531.20	0.26417
531.40	0.26458
531.60	0.26498
531.80	0.26539
532.00	0.26582
532.20	0.26625
532.40	0.26673
532.60	0.26724
532.80	0.26775
533.00	0.26825
533.20	0.26874
533.40	0.26924
533.60	0.26971
533.80	0.27018
534.00	0.27063
534.20	0.27106
534.40	0.27149
534.60	0.27186
534.80	0.27221
535.00	0.27253
535.20	0.27280
535.40	0.27306
535.60	0.27332
535.80	0.27356
536.00	0.27372
536.20	0.27384
536.40	0.27394
536.60	0.27401
536.80	0.27407
537.00	0.27408
537.20	0.27409
537.40	0.27407
537.60	0.27396
537.80	0.27386
538.00	0.27371
538.20	0.27353
538.40	0.27334
538.60	0.27317
538.80	0.27302
539.00	0.27284
539.20	0.27261
539.40	0.27240
539.60	0.27218
539.80	0.27194
540.00	0.27167
540.20	0.27144
540.40	0.27115
540.60	0.27091
540.80	0.27064
541.00	0.27036
541.20	0.27004
541.40	0.26972
541.60	0.26939
541.80	0.26903
542.00	0.26867
542.20	0.26831
542.40	0.26793
542.60	0.26755
542.80	0.26717
543.00	0.26685
543.20	0.26645
543.40	0.26614
543.60	0.26581
543.80	0.26550
544.00	0.26519
544.20	0.26486
544.40	0.26458
544.60	0.26432
544.80	0.26405
545.00	0.26384
545.20	0.26367
545.40	0.26348
545.60	0.26333
545.80	0.26319
546.00	0.26303
546.20	0.26288
546.40	0.26277
546.60	0.26265
546.80	0.26259
547.00	0.26252
547.20	0.26244
547.40	0.26241
547.60	0.26238
547.80	0.26232
548.00	0.26225
548.20	0.26221
548.40	0.26215
548.60	0.26212
548.80	0.26208
549.00	0.26204
549.20	0.26202
549.40	0.26196
549.60	0.26191
549.80	0.26190
550.00	0.26186
550.20	0.26182
550.40	0.26179
550.60	0.26179
550.80	0.26174
551.00	0.26171
551.20	0.26168
551.40	0.26165
551.60	0.26162
551.80	0.26157
552.00	0.26158
552.20	0.26159
552.40	0.26156
552.60	0.26156
552.80	0.26153
553.00	0.26153
553.20	0.26153
553.40	0.26154
553.60	0.26156
553.80	0.26154
554.00	0.26155
554.20	0.26155
554.40	0.26159
554.60	0.26158
554.80	0.26156
555.00	0.26157
555.20	0.26157
555.40	0.26157
555.60	0.26155
555.80	0.26154
556.00	0.26153
556.20	0.26155
556.40	0.26158
556.60	0.26160
556.80	0.26163
557.00	0.26162
557.20	0.26161
557.40	0.26162
557.60	0.26160
557.80	0.26159
558.00	0.26159
558.20	0.26157
558.40	0.26158
558.60	0.26157
558.80	0.26155
559.00	0.26152
559.20	0.26151
559.40	0.26148
559.60	0.26145
559.80	0.26145
560.00	0.26144
560.20	0.26144
560.40	0.26144
560.60	0.26144
560.80	0.26145
561.00	0.26143
561.20	0.26148
561.40	0.26145
561.60	0.26145
561.80	0.26146
562.00	0.26143
562.20	0.26144
562.40	0.26144
562.60	0.26142
562.80	0.26142
563.00	0.26140
563.20	0.26138
563.40	0.26141
563.60	0.26144
563.80	0.26141
564.00	0.26141
564.20	0.26145
564.40	0.26149
564.60	0.26152
564.80	0.26153
565.00	0.26155
565.20	0.26162
565.40	0.26167
565.60	0.26173
565.80	0.26183
566.00	0.26185
566.20	0.26187
566.40	0.26191
566.60	0.26199
566.80	0.26201
567.00	0.26202
567.20	0.26209
567.40	0.26214
567.60	0.26219
567.80	0.26221
568.00	0.26225
568.20	0.26224
568.40	0.26223
568.60	0.26225
568.80	0.26228
569.00	0.26233
569.20	0.26234
569.40	0.26238
569.60	0.26246
569.80	0.26249
570.00	0.26254
570.20	0.26259
570.40	0.26268
570.60	0.26275
570.80	0.26283
571.00	0.26288
571.20	0.26293
571.40	0.26298
571.60	0.26303
571.80	0.26305
572.00	0.26309
572.20	0.26310
572.40	0.26314
572.60	0.26317
572.80	0.26319
573.00	0.26320
573.20	0.26321
573.40	0.26326
573.60	0.26329
573.80	0.26334
574.00	0.26337
574.20	0.26339
574.40	0.26346
574.60	0.26349
574.80	0.26350
575.00	0.26354
575.20	0.26357
575.40	0.26360
575.60	0.26364
575.80	0.26367
576.00	0.26371
576.20	0.26373
576.40	0.26371
576.60	0.26373
576.80	0.26373
577.00	0.26373
577.20	0.26374
577.40	0.26377
577.60	0.26377
577.80	0.26377
578.00	0.26374
578.20	0.26371
578.40	0.26371
578.60	0.26367
578.80	0.26368
579.00	0.26368
579.20	0.26364
579.40	0.26364
579.60	0.26361
579.80	0.26360
580.00	0.26356
580.20	0.26353
580.40	0.26351
580.60	0.26350
580.80	0.26350
581.00	0.26347
581.20	0.26346
581.40	0.26341
581.60	0.26341
581.80	0.26341
582.00	0.26341
582.20	0.26342
582.40	0.26341
582.60	0.26339
582.80	0.26338
583.00	0.26338
583.20	0.26339
583.40	0.26338
583.60	0.26338
583.80	0.26334
584.00	0.26333
584.20	0.26328
584.40	0.26326
584.60	0.26324
584.80	0.26320
585.00	0.26316
585.20	0.26316
585.40	0.26314
585.60	0.26312
585.80	0.26307
586.00	0.26305
586.20	0.26299
586.40	0.26301
586.60	0.26300
586.80	0.26303
587.00	0.26305
587.20	0.26305
587.40	0.26303
587.60	0.26307
587.80	0.26303
588.00	0.26301
588.20	0.26304
588.40	0.26308
588.60	0.26306
588.80	0.26306
589.00	0.26303
589.20	0.26304
589.40	0.26304
589.60	0.26304
589.80	0.26303
590.00	0.26304
590.20	0.26302
590.40	0.26307
590.60	0.26307
590.80	0.26307
591.00	0.26305
591.20	0.26308
591.40	0.26311
591.60	0.26313
591.80	0.26315
592.00	0.26315
592.20	0.26316
592.40	0.26317
592.60	0.26316
592.80	0.26317
593.00	0.26318
593.20	0.26323
593.40	0.26324
593.60	0.26325
593.80	0.26327
594.00	0.26330
594.20	0.26337
594.40	0.26339
594.60	0.26341
594.80	0.26345
595.00	0.26349
595.20	0.26356
595.40	0.26360
595.60	0.26362
595.80	0.26366
596.00	0.26372
596.20	0.26376
596.40	0.26379
596.60	0.26381
596.80	0.26382
597.00	0.26384
597.20	0.26388
597.40	0.26390
597.60	0.26395
597.80	0.26397
598.00	0.26401
598.20	0.26404
598.40	0.26406
598.60	0.26407
598.80	0.26411
599.00	0.26415
599.20	0.26419
599.40	0.26421
599.60	0.26425
599.80	0.26428
600.00	0.26433
600.20	0.26433
600.40	0.26436
600.60	0.26440
600.80	0.26444
601.00	0.26445
601.20	0.26448
601.40	0.26453
601.60	0.26457
601.80	0.26459
602.00	0.26465
602.20	0.26469
602.40	0.26473
602.60	0.26475
602.80	0.26478
603.00	0.26480
603.20	0.26482
603.40	0.26487
603.60	0.26493
603.80	0.26493
604.00	0.26493
604.20	0.26495
604.40	0.26499
604.60	0.26502
604.80	0.26508
605.00	0.26512
605.20	0.26515
605.40	0.26519
605.60	0.26522
605.80	0.26525
606.00	0.26525
606.20	0.26525
606.40	0.26532
606.60	0.26533
606.80	0.26532
607.00	0.26535
607.20	0.26534
607.40	0.26533
607.60	0.26533
607.80	0.26534
608.00	0.26536
608.20	0.26538
608.40	0.26540
608.60	0.26541
608.80	0.26545
609.00	0.26548
609.20	0.26553
609.40	0.26556
609.60	0.26559
609.80	0.26560
610.00	0.26560
610.20	0.26560
610.40	0.26565
610.60	0.26566
610.80	0.26566
611.00	0.26570
611.20	0.26572
611.40	0.26574
611.60	0.26575
611.80	0.26576
612.00	0.26576
612.20	0.26578
612.40	0.26583
612.60	0.26584
612.80	0.26585
613.00	0.26586
613.20	0.26588
613.40	0.26592
613.60	0.26592
613.80	0.26594
614.00	0.26594
614.20	0.26596
614.40	0.26597
614.60	0.26599
614.80	0.26604
615.00	0.26605
615.20	0.26610
615.40	0.26616
615.60	0.26616
615.80	0.26618
616.00	0.26618
616.20	0.26620
616.40	0.26623
616.60	0.26624
616.80	0.26626
617.00	0.26629
617.20	0.26633
617.40	0.26632
617.60	0.26632
617.80	0.26634
618.00	0.26637
618.20	0.26640
618.40	0.26643
618.60	0.26646
618.80	0.26651
619.00	0.26655
619.20	0.26661
619.40	0.26664
619.60	0.26666
619.80	0.26669
620.00	0.26670
620.20	0.26674
620.40	0.26675
620.60	0.26679
620.80	0.26681
621.00	0.26684
621.20	0.26689
621.40	0.26689
621.60	0.26688
621.80	0.26692
622.00	0.26693
622.20	0.26698
622.40	0.26699
622.60	0.26705
622.80	0.26708
623.00	0.26711
623.20	0.26713
623.40	0.26715
623.60	0.26721
623.80	0.26724
624.00	0.26732
624.20	0.26737
624.40	0.26738
624.60	0.26743
624.80	0.26748
625.00	0.26752
625.20	0.26760
625.40	0.26766
625.60	0.26770
625.80	0.26774
626.00	0.26781
626.20	0.26783
626.40	0.26789
626.60	0.26790
626.80	0.26803
627.00	0.26810
627.20	0.26815
627.40	0.26815
627.60	0.26820
627.80	0.26822
628.00	0.26830
628.20	0.26838
628.40	0.26845
